Date,Open,High,Low,Close,Volume,Adj Close
2016-01-04,99.769997,100.0,97.010002,98.010002,14904400,95.793265
2016-01-05,99.690002,99.849998,98.699997,99.260002,9260800,97.014993
2016-01-06,97.57,100.68,97.519997,100.300003,12540700,98.031472
2016-01-07,98.059998,99.0,96.029999,96.25,12944600,94.07307
2016-01-08,96.900002,97.989998,96.410004,96.449997,11976000,94.268543
2016-01-11,97.220001,97.220001,94.290001,96.5,12322500,94.317415
2016-01-12,96.900002,98.489998,95.209999,97.099998,9830100,94.903843
2016-01-13,97.25,98.029999,92.120003,92.540001,12135700,90.446981
2016-01-14,92.720001,94.879997,90.790001,93.019997,16303200,90.916121
2016-01-15,90.370003,92.779999,89.68,91.839996,18108300,89.762809
2016-01-19,93.139999,93.220001,88.849998,89.900002,14373700,87.866692
2016-01-20,88.0,91.830002,86.279999,90.550003,19676300,88.501992
2016-01-21,90.370003,90.599998,88.709999,88.870003,12158300,86.859989
2016-01-22,90.400002,92.07,89.709999,91.830002,9160700,89.753041
2016-01-25,91.529999,93.540001,90.43,90.610001,10188400,88.560633
2016-01-26,90.720001,92.830002,90.25,92.209999,6889200,90.124443
2016-01-27,91.839996,92.099998,89.0,89.629997,12520300,87.602794
2016-01-28,90.0,90.220001,86.860001,87.529999,14168300,85.550293
2016-01-29,84.279999,85.300003,82.330002,83.0,37029000,81.122751
2016-02-01,82.32,84.519997,82.279999,84.050003,17943600,82.149006
2016-02-02,84.18,84.220001,81.889999,82.709999,16895600,80.839309
2016-02-03,84.910004,86.989998,83.870003,86.389999,24497700,84.436077
2016-02-04,86.019997,87.449997,85.610001,86.68,14538700,84.719519
2016-02-05,86.68,88.019997,84.449997,85.139999,15732800,83.214349
2016-02-08,84.190002,86.650002,83.860001,85.260002,19111300,83.331638
2016-02-09,84.199997,88.480003,84.099998,87.25,14322700,85.276627
2016-02-10,88.690002,89.849998,87.540001,87.800003,13462300,85.81419
2016-02-11,86.5,88.449997,86.010002,87.360001,13013400,85.384139
2016-02-12,88.660004,89.879997,86.68,89.440002,11311700,87.417097
2016-02-16,90.720001,91.279999,89.889999,91.150002,12278000,89.08842
2016-02-17,91.089996,91.5,88.660004,89.360001,22772800,87.338904
2016-02-18,89.599998,90.949997,88.93,88.989998,11427500,86.97727
2016-02-19,88.199997,88.980003,87.120003,87.440002,12897800,85.462332
2016-02-22,88.349998,89.5,88.050003,89.099998,9749400,87.084783
2016-02-23,89.099998,89.400002,87.900002,88.349998,8394500,86.351746
2016-02-24,87.410004,89.540001,86.790001,89.360001,8338400,87.338904
2016-02-25,90.0,90.489998,89.550003,90.160004,9171500,88.120813
2016-02-26,90.610001,90.919998,87.889999,88.099998,13349700,86.1074
2016-02-29,87.870003,89.139999,87.25,87.25,12732500,85.276627
2016-03-01,87.900002,89.720001,87.300003,89.690002,11746100,87.661442
2016-03-02,89.599998,89.68,87.959999,88.800003,10557200,86.791573
2016-03-03,89.129997,89.309998,87.480003,87.830002,12374600,85.84351
2016-03-04,88.300003,89.099998,86.849998,87.209999,21201900,85.23753
2016-03-07,87.110001,90.040001,86.879997,89.650002,13100600,87.622346
2016-03-08,89.650002,90.400002,88.349998,88.660004,11056800,86.65474
2016-03-09,88.940002,89.25,87.43,87.830002,10428100,85.84351
2016-03-10,88.300003,89.900002,87.82,88.639999,10884500,86.635188
2016-03-11,89.970001,89.980003,88.800003,89.650002,10581000,87.622346
2016-03-14,90.0,91.209999,89.339996,90.459999,11004900,88.840135
2016-03-15,89.919998,90.07,89.029999,89.440002,10265100,87.838404
2016-03-16,88.959999,90.879997,88.910004,90.279999,8860200,88.663358
2016-03-17,89.790001,90.370003,88.809998,89.529999,10549300,87.926788
2016-03-18,90.019997,90.730003,89.540001,90.269997,16824300,88.653535
2016-03-21,90.0,93.010002,90.0,92.669998,9816900,91.01056
2016-03-22,92.139999,93.959999,92.050003,93.720001,9830800,92.041761
2016-03-23,90.959999,92.220001,89.970001,90.080002,13891900,88.466942
2016-03-24,89.610001,92.82,89.440002,91.32,14396500,89.684736
2016-03-28,92.07,94.309998,91.940002,92.459999,9606800,90.804321
2016-03-29,92.190002,92.239998,90.610001,92.199997,8664500,90.548975
2016-03-30,92.470001,93.57,91.559998,91.970001,8125200,90.323098
2016-03-31,91.900002,92.75,91.540001,91.860001,13656300,90.215067
2016-04-01,91.339996,94.379997,91.040001,94.120003,11423000,92.434599
2016-04-04,94.349998,95.0,93.75,94.239998,8804800,92.552446
2016-04-05,93.550003,96.690002,93.5,95.57,11808600,93.858631
2016-04-06,95.489998,97.5,95.480003,97.440002,11118800,95.695148
2016-04-07,97.209999,97.629997,95.089996,95.57,13333100,93.858631
2016-04-08,96.209999,97.449997,95.580002,96.089996,9722900,94.369316
2016-04-11,96.410004,97.050003,95.739998,95.830002,8796300,94.113977
2016-04-12,96.0,97.400002,95.5,97.239998,9224800,95.498725
2016-04-13,97.839996,97.970001,96.650002,97.190002,9299000,95.449625
2016-04-14,97.010002,98.769997,96.900002,98.190002,8743400,96.431718
2016-04-15,98.529999,98.980003,97.620003,98.290001,8910600,96.529925
2016-04-18,98.169998,99.730003,98.110001,99.199997,8067800,97.423626
2016-04-19,99.760002,100.730003,99.239998,99.440002,9811700,97.659334
2016-04-20,99.349998,100.959999,99.349998,100.110001,8864100,98.317334
2016-04-21,99.900002,101.839996,99.900002,101.739998,9038200,99.918143
2016-04-22,101.559998,102.449997,100.5,101.93,10301900,100.104743
2016-04-25,101.839996,102.379997,101.5,102.290001,8292300,100.458298
2016-04-26,102.019997,103.099998,101.010002,101.330002,9342600,99.515489
2016-04-27,101.300003,101.779999,100.150002,100.720001,8585800,98.916412
2016-04-28,100.410004,100.75,96.800003,97.0,15680300,95.263025
2016-04-29,91.190002,92.529999,87.800003,88.209999,33629200,86.630426
2016-05-02,88.699997,89.449997,86.75,89.0,13524000,87.40628
2016-05-03,88.669998,89.120003,87.0,87.169998,9881800,85.609048
2016-05-04,86.660004,86.989998,85.410004,85.599998,12187800,84.067162
2016-05-05,86.349998,86.400002,85.199997,85.860001,8035800,84.322509
2016-05-06,85.669998,85.839996,84.040001,84.68,9271300,83.163639
2016-05-09,84.989998,86.459999,84.699997,85.669998,8469000,84.135909
2016-05-10,86.410004,86.480003,84.889999,86.18,6840000,84.636778
2016-05-11,86.389999,86.400002,83.809998,83.900002,8445700,82.397607
2016-05-12,84.099998,84.300003,81.699997,82.760002,12095700,81.278022
2016-05-13,82.660004,83.870003,82.410004,82.699997,8332900,81.219091
2016-05-16,82.699997,83.830002,82.5,83.610001,6508100,82.112799
2016-05-17,83.5,83.739998,82.449997,82.760002,8379200,81.278022
2016-05-18,82.739998,83.440002,82.330002,82.879997,7498300,81.395868
2016-05-19,82.309998,82.589996,81.279999,82.139999,9272400,80.669121
2016-05-20,82.169998,83.080002,82.07,82.639999,7953000,81.160168
2016-05-23,83.019997,84.029999,82.25,83.330002,7782700,81.837815
2016-05-24,83.779999,86.440002,83.709999,86.220001,13171300,84.676063
2016-05-25,86.800003,87.0,85.699997,86.510002,11621400,84.960871
2016-05-26,86.440002,86.5,85.050003,85.290001,8126000,83.762716
2016-05-27,85.82,86.019997,85.199997,85.82,6125900,84.283224
2016-05-31,86.400002,87.230003,86.050003,87.059998,12517800,85.501017
